power_rank,team,rank,total.points,rating,power_score
122,Cyprus,130,1131.32,1302.0,0.5439220190652825
123,Faroe Islands,137,1096.88,1380.0,0.543290619413113
124,Nicaragua,133,1114.28,1328.0,0.5418438444834349
125,Malaysia,132,1117.05,1314.0,0.5409937652653791
126,Kuwait,134,1109.16,1330.0,0.5400306029749127
127,Botswana,136,1098.85,1319.0,0.5336269421006556
128,Malawi,131,1129.31,1252.0,0.5331265917839361
129,Congo,128,1132.65,1206.0,0.5288826774422758
130,Central African Republic,135,1102.23,1238.0,0.5205497417934684
131,Dominican Republic,141,1083.36,1294.0,0.5200581954000382
132,Latvia,140,1084.11,1286.0,0.5199247621083127
133,Swaziland,141,1078.0,1286.0,0.5175524589644175
134,India,127,1133.62,1123.0,0.514973075749956
135,Lithuania,142,1069.96,1276.0,0.5129661758438501
136,Burundi,139,1087.26,1238.0,0.5128834358588883
137,Liberia,145,1063.04,1299.0,0.512283287538491
138,Ethiopia,146,1059.94,1264.0,0.5040417464877928
139,Turkmenistan,143,1065.42,1217.0,0.500025519807753
140,New Caledonia,152,1034.43,1295.0,0.49766587575422216
141,Guyana,154,1030.6,1275.0,0.490851346086716
142,Lesotho,150,1046.76,1215.0,0.4876919049812826
143,Hong Kong,146,1062.39,1136.0,0.4809297517758028
144,Philippines,149,1047.73,1155.0,0.47801998177813854
145,Tahiti,153,1031.47,1178.0,0.4743430386445722
146,Fiji,147,1049.15,1109.0,0.4722103090471546
147,Eswatini,159,1015.25,1210.0,0.4699396727421626
148,Solomon Islands,148,1048.75,1091.0,0.4676206956507356
149,Malta,169,983.95,1279.0,0.4646659616600531
150,Cuba,164,994.43,1230.0,0.463636049603557
151,Yemen,158,1017.84,1150.0,0.460579587845082
152,Puerto Rico,157,1022.83,1134.0,0.4597883488203346
153,Singapore,161,1007.83,1131.0,0.45156352742980777
154,Afghanistan,155,1025.0,1033.0,0.4439894666796367
155,Vanuatu,163,996.21,1114.0,0.4438022196667564
156,Bermuda,166,988.19,1121.0,0.43995963904838503
157,South Sudan,170,973.55,1133.0,0.4345678184217113
158,Papua New Guinea,172,963.22,1136.0,0.4307397641634962
159,Grenada,174,955.44,1122.0,0.42427036935398543
160,Andorra,171,971.54,1083.0,0.423772391140365
161,Chad,176,935.41,1119.0,0.41746965377001716
162,Belize,178,925.02,1103.0,0.41012935901907
163,Antigua and Barbuda,160,1010.97,895.0,0.4098818607758293
164,Mauritius,179,923.46,1090.0,0.4062376884502556
165,Myanmar,167,986.15,944.0,0.40575908184771103
166,Maldives,162,1001.39,841.0,0.3956961033262326
167,Eritrea,195,855.56,1141.0,0.38342526403665883
168,Nepal,175,939.2,917.0,0.3821775017123735
169,Montserrat,181,914.26,971.0,0.38014903035344516
170,Barbados,177,933.3,921.0,0.3793864373671286
171,Dominica,183,900.0,940.0,0.3693000851755073
172,Bangladesh,185,898.81,940.0,0.36667867426788997
173,Cambodia,180,921.2,846.0,0.359650241151788
174,Gibraltar,197,848.58,1017.0,0.35684270546065583
175,Djibouti,191,877.37,915.0,0.3507684232684204
176,Aruba,195,858.0,949.0,0.34851954338349567
177,Somalia,202,829.81,961.0,0.33693092882080505
178,Cayman Islands,194,866.71,806.0,0.3250450223701231
179,Mongolia,187,883.57,730.0,0.32266089270482634
180,Liechtenstein,204,821.71,900.0,0.3217403324520231
181,Laos,186,889.54,707.0,0.3207685683701332
182,Pakistan,198,842.59,828.0,0.3196708390829705
183,Seychelles,201,831.19,841.0,0.31628311420806143
184,Samoa,192,876.41,729.0,0.3151175362542853
185,Bhutan,182,904.06,614.0,0.3112132917054932
186,Netherlands Antilles,150,107.0,1219.0,0.30753187618273115
187,Sri Lanka,200,832.8,780.0,0.3065501394942568
188,Cook Islands,190,877.53,622.0,0.2980110553479884
189,Guam,203,821.91,714.0,0.28870508156205965
190,San Marino,210,747.42,833.0,0.2879184685341688
191,Bahamas,205,818.58,719.0,0.2865929705561567
192,British Virgin Islands,207,780.3,693.0,0.27204158322026023
193,Turks and Caicos Islands,206,803.98,657.0,0.27116309646546033
194,Moldova,151,1045.59,0.0,0.26241054381513323
195,Tonga,199,835.64,520.0,0.26038879962581296
196,Anguilla,209,769.31,646.0,0.2588741391845555
197,US Virgin Islands,208,779.71,617.0,0.2567290765269967
